res_expno,res_lbl_score,res_tst_score
0,0.91377,0.85638
1,0.95635,0.8405
2,0.9222,0.85614
3,0.88479,0.90521
4,0.94334,0.82462
5,0.928,0.87122
6,0.91718,0.84856
7,0.94083,0.82417
8,0.89874,0.90123
9,0.92669,0.86006
10,0.91954,0.85192
11,0.96154,0.8182
12,0.921,0.86648
13,0.95121,0.82839
14,0.92449,0.86146
15,0.92019,0.85338
16,0.92352,0.86601
17,0.8995,0.81557
18,0.91686,0.90239
19,0.96104,0.87081
20,0.93081,0.83397
21,0.92795,0.86797
22,0.94809,0.85892
23,0.92961,0.8416
24,0.92289,0.86286
25,0.93135,0.87337
26,0.92131,0.88339
27,0.91387,0.87703
28,0.90249,0.84059
29,0.94055,0.84287
30,0.93126,0.8522
31,0.92042,0.88093
32,0.92092,0.86336
33,0.89793,0.88229
34,0.90554,0.86769
35,0.93246,0.8586
36,0.93379,0.83731
37,0.91776,0.86747
38,0.91493,0.85472
39,0.89937,0.8861
40,0.93985,0.84302
41,0.94282,0.82643
42,0.93411,0.85336
43,0.90618,0.89334
44,0.91146,0.89113
45,0.91903,0.8587
46,0.91985,0.86812
47,0.911,0.83944
48,0.91312,0.85323
49,0.9135,0.87247
50,0.89881,0.88443
51,0.93906,0.83947
52,0.9226,0.8768
53,0.91347,0.87307
54,0.96008,0.84759
55,0.94216,0.84339
56,0.93445,0.84476
57,0.97378,0.83802
58,0.92663,0.88333
59,0.95443,0.81661
60,0.92456,0.89565
61,0.98412,0.81107
62,0.9308,0.87187
63,0.94802,0.84033
64,0.93124,0.85827
65,0.93555,0.86084
66,0.95134,0.84657
67,0.93039,0.8483
68,0.94579,0.89354
69,0.93038,0.87087
70,0.9485,0.86415
71,0.90669,0.86178
72,0.92409,0.88087
73,0.90423,0.88346
74,0.92779,0.87156
75,0.92119,0.85388
76,0.93165,0.87088
77,0.92102,0.89978
78,0.92167,0.8821
79,0.92388,0.86592
80,0.93063,0.88947
81,0.9235,0.83188
82,0.93139,0.87172
83,0.94273,0.84754
84,0.93518,0.86598
85,0.90324,0.8581
86,0.9216,0.86781
87,0.95544,0.83645
88,0.91499,0.89239
89,0.89384,0.86417
90,0.92005,0.85668
91,0.9435,0.8709
92,0.95988,0.84345
93,0.8986,0.8706
94,0.92099,0.83972
95,0.94602,0.87732
96,0.91903,0.86482
97,0.92389,0.87047
98,0.9519,0.83589
99,0.93036,0.80873
100,0.94417,0.8545
101,0.93849,0.82926
102,0.87958,0.90573
103,0.89095,0.86601
104,0.89829,0.86299
105,0.90503,0.86256
106,0.92917,0.89104
107,0.96917,0.81913
108,0.95834,0.84614
109,0.91762,0.85679
110,0.89989,0.86887
111,0.96852,0.83527
112,0.91098,0.87986
113,0.92333,0.84752
114,0.90371,0.86252
115,0.93184,0.8704
116,0.93348,0.86691
117,0.9337,0.88557
118,0.93491,0.85999
119,0.92691,0.88302
120,0.95391,0.84446
121,0.93001,0.85278
122,0.92803,0.86491
123,0.89682,0.89472
124,0.93781,0.8106
125,0.94919,0.85062
126,0.90719,0.87531
127,0.94224,0.86605
128,0.91146,0.87839
129,0.92345,0.86058
130,0.86921,0.90758
131,0.89248,0.84418
132,0.95404,0.82969
133,0.93096,0.86028
134,0.90362,0.88231
135,0.90296,0.87247
136,0.89205,0.89231
137,0.91919,0.88139
138,0.94484,0.82964
139,0.90171,0.89343
140,0.91182,0.84589
141,0.92094,0.8391
142,0.93076,0.87372
143,0.91172,0.86689
144,0.92886,0.88759
145,0.92419,0.87079
146,0.94175,0.87212
147,0.94326,0.86342
148,0.94656,0.80091
149,0.88552,0.88147
