XZ2021,RS,BSO,Avg,BEST_val,BEST_mhd,WORST_val,WORST_mhd
appendicitis,0.836,0.881,0.844,0.859,eer,0.826,dwus
sonar,0.617,0.83,0.755,0.775,lal,0.732,hintsvm
parkinsons,0.84,0.865,0.845,0.858,qbc,0.829,hintsvm
ex8b,0.866,0.924,0.89,0.909,spal,0.864,hintsvm
heart,0.808,0.848,0.787,0.83,infodiv,0.718,dwus
haberman,0.727,0.751,0.727,0.735,bmdr,0.72,quire
ionosphere,0.901,0.933,0.909,0.931,lal,0.884,hintsvm
clean1,0.649,0.871,0.805,0.838,lal,0.747,hintsvm
breast,0.954,0.961,0.957,0.963,spal,0.953,dwus
wdbc,0.952,0.973,0.955,0.965,lal,0.94,eer
australian,0.846,0.878,0.845,0.853,kcenter,0.82,dwus
diabetes,0.736,0.784,0.741,0.751,kcenter,0.691,eer
mammographic,0.819,0.844,0.815,0.825,mcm,0.798,eer
ex8a,0.838,0.873,0.836,0.864,hier,0.804,quire
tic,0.87,0.873,0.87,0.872,eer,0.865,quire
german,0.726,0.783,0.737,0.744,qbc,0.72,dwus
splice,0.806,0.871,0.791,0.821,qbc,0.679,eer
gcloudb,0.893,0.901,0.886,0.897,graph,0.868,hintsvm
gcloudub,0.942,0.963,0.929,0.954,qbc,0.864,eer
checkerboard,0.978,0.992,0.943,0.986,kcenter,0.902,vr
spambase,0.685,,0.877,0.919,qbc,0.685,dwus
banana,0.895,,0.847,0.893,hier,0.784,quire
phoneme,0.822,,0.823,0.831,qbc,0.802,hintsvm
ringnorm,0.976,,0.949,0.978,lal,0.8,dwus
twonorm,0.976,,0.975,0.976,kcenter,0.972,dwus
phishing,0.926,,0.939,0.945,lal,0.923,graph
